FamilyID	Amborella_trichopoda<1>	Hordeum_vulgare<2>	Secale_cereale<3>	Triticum_turgidum<4>	Aegilops_tauschii<5>	Triticum_aestivum<6>	Brachypodium_distachyon<7>	Sorghum_bicolor<8>	Zea_mays<9>	Setaria_viridis<10>	Setaria_italica<11>	Oropetium_thomaeum<12>	Ananas_comosus<13>	Musa_acuminata<14>	Calamus_simplicifolius<15>	Elaeis_guineensis<16>	Allium_sativum<17>	Asparagus_officinalis<18>	Zostera_marina<19>	Spirodela_polyrhiza<20>	Magnolia_biondii<21>	Ceratophyllum_demersum<22>	Aquilegia_oxysepala<23>	Papaver_somniferum<24>	Nelumbo_nucifera<25>	Trochodendron_aralioides<26>	Nicotiana_tabacum<27>	Capsicum_annuum<28>	Solanum_pennellii<29>	Solanum_lycopersicum<30>	Solanum_tuberosum<31>	Petunia_axillaris<32>	Coffea_canephora<33>	Striga_asiatica<34>	Avicennia_marina<35>	Utricularia_gibba<36>	Olea_europaea<37>	Helianthus_annuus<38>	Erigeron_canadensis<39>	Lactuca_sativa<40>	Daucus_carota<41>	Lonicera_japonica<42>	Davidia_involucrata<43>	Hydrangea_macrophylla<44>	Rhododendron_simsii<45>	Actinidia_chinensis<46>	Beta_vulgaris<47>	Chenopodium_quinoa<48>	Amaranthus_hybridus<49>	Simmondsia_chinensis<50>	Vitis_vinifera<51>	Punica_granatum<52>	Eucalyptus_grandis<53>	Cannabis_sativa<54>	Fragaria_vesca<55>	Rosa_chinensis<56>	Malus_domestica<57>	Prunus_persica<58>	Cucumis_melo<59>	Citrullus_lanatus<60>	Glycine_max<61>	Medicago_truncatula<62>	Trifolium_pratense<63>	Lotus_japonicus<64>	Arachis_hypogaea<65>	Carya_illinoinensis<66>	Carpinus_fangiana<67>	Manihot_esculenta<68>	Populus_trichocarpa<69>	Tripterygium_wilfordii<70>	Citrus_clementina<71>	Brassica_rapa<72>	Brassica_napus<73>	Brassica_oleracea<74>	Schrenkiella_parvula<75>	Eutrema_salsugineum<76>	Capsella_rubella<77>	Arabidopsis_lyrata<78>	Arabidopsis_thaliana<79>	Cardamine_hirsuta<80>	Aethionema_arabicum<81>	Tarenaya_hassleriana<82>	Carica_papaya<83>	Durio_zibethinus<84>	Gossypium_hirsutum<85>	Gossypium_raimondii<86>	<87>	<88>	<89>	<90>	<91>	<92>	<93>	<94>	<95>	<96>	<97>	<98>	<99>	<100>	<101>	<102>	<103>	<104>	<105>	<106>	<107>	<108>	<109>	<110>	<111>	<112>	<113>	<114>	<115>	<116>	<117>	<118>	<119>	<120>	<121>	<122>	<123>	<124>	<125>	<126>	<127>	<128>	<129>	<130>	<131>	<132>	<133>	<134>	<135>	<136>	<137>	<138>	<139>	<140>	<141>	<142>	<143>	<144>	<145>	<146>	<147>	<148>	<149>	<150>	<151>	<152>	<153>	<154>	<155>	<156>	<157>	<158>	<159>	<160>	<161>	<162>	<163>	<164>	<165>	<166>	<167>	<168>	<169>	<170>	<171>
44_fam	0.286545	0.5	0.5	0.5	0.5	0.5	0.5	0.0199078	5.42634e-18	0.5	0.5	0.412146	0.774876	0.777932	0.5	0.5	0.5	0.5	0.773373	0.773373	0.946078	0.0269371	0.83382	0.143511	0.747601	0.047714	0.0171172	0.488558	0.00732914	3.95049e-10	0.413463	0.684926	0.941348	0.927354	0.125698	0.00505937	0.00755244	0.0511033	0.931499	0.93417	0.939834	0.499383	0.718361	0.42764	0.571118	0.571118	0.781544	0.1215	0.108099	0.942568	0.557631	0.939079	0.703566	0.944391	0.490715	0.0662722	0.224752	0.512326	0.89689	0.697311	2.51981e-08	0.913479	0.447333	0.170176	0.083629	0.164546	0.221137	0.524784	0.00261481	0.952203	0.852524	0.656952	3.98852e-19	0.00888817	0.457469	0.763917	0.405222	0.0652365	0.000404719	0.475333	0.933285	0.398045	0.378577	0.938704	8.21604e-09	0.000305562	N/A	0.700838	1.3353e-07	0.528702	0.514669	0.534145	0.646918	0.264881	0.5	0.5	0.5	0.5	0.555002	0.589766	0.0100294	0.372926	0.551624	0.282853	0.237207	0.564909	0.0447406	0.058703	0.534132	0.874174	0.534132	0.525939	0.549877	0.605189	0.682811	0.678488	0.821246	0.761134	0.271409	0.721137	0.86683	0.393602	0.103784	0.790881	0.627685	0.672564	0.807503	0.561881	0.737991	0.833786	0.770546	0.822488	0.901203	0.878605	0.897648	0.792695	0.598889	0.107296	0.715607	0.554942	0.627579	0.716599	0.862636	0.89134	0.520992	0.871201	0.939968	0.656844	0.054269	0.769713	0.496169	0.223694	0.743237	0.127288	0.282107	0.0618731	0.765902	0.732936	0.856267	0.533153	0.834361	0.779816	0.81903	0.732585	0.0477513	0.0961959	0.837032	0.362328	0.123423	0.0612708	0.0796437
46_fam	0.00149151	0.5	0.5	0.5	0.5	0.5	0.5	0.00393473	1.9378e-24	0.5	0.5	0.412146	0.774876	0.777932	0.5	0.5	0.5	0.5	0.414112	0.414112	9.2624e-05	0.529876	0.00170896	8.9591e-05	0.0594466	0.0134798	0.00149571	0.280409	0.000139763	0.00615286	0.805549	0.28397	0.470135	0.685892	0.468032	0.0048944	0.299749	0.134576	0.368566	0.954052	0.000407099	0.00027589	0.0184778	0.0644558	0.299812	0.210034	0.479855	3.74238e-06	0.102708	0.00946196	0.831245	0.693746	0.000127905	0.322916	0.945251	0.730508	0.574786	0.851308	0.738477	0.43877	1.6032e-08	0.0786948	0.434043	0.0255049	0.117422	0.0212283	0.0577585	0.773296	1.69894e-06	0.707585	0.508302	0.0302797	1.17964e-08	0.642238	0.146791	0.781719	0.243269	0.15432	1.81553e-07	0.649092	0.0557303	0.0419285	0.495373	0.859841	9.12374e-08	0.000124868	N/A	0.813467	4.40669e-18	0.0824594	0.514669	0.534145	0.646918	0.264881	0.5	0.5	0.5	0.5	0.555002	0.589766	0.00143523	0.372926	0.551624	0.282853	0.237207	0.617466	0.0261118	0.134781	0.571197	0.609967	0.571197	0.554942	0.601003	0.691569	0.785955	0.781575	0.679571	0.36687	0.0310991	0.831455	0.76057	0.445195	0.685329	0.050058	0.00535221	0.700373	0.880384	0.939173	0.823389	0.895439	0.395574	0.0954066	0.576469	0.621194	0.012776	0.0627614	0.682309	0.220345	0.0888383	0.605184	0.715016	0.810776	0.909114	0.645726	0.932196	0.916321	0.0609059	0.750788	0.359387	0.320135	0.604486	0.671268	0.71108	0.783128	0.0954967	0.0179	0.840418	0.814061	0.182645	0.154457	0.849126	0.798754	0.835225	0.752876	0.0212667	0.0218849	0.378253	0.414772	0.0885463	0.0692229	0.0837879
56_fam	0.38905	0.5	0.5	0.5	0.5	0.5	0.5	0.000808433	1.96842e-28	0.5	0.5	0.412146	0.774876	0.777932	0.5	0.5	0.5	0.5	0.414112	0.414112	0.192976	0.00987595	0.530937	2.23753e-07	0.551558	0.291656	0.00204645	0.206147	0.0135036	0.000205833	0.0456256	0.592065	0.959357	0.0798502	0.556237	0.0383177	0.427146	0.0129109	0.826129	0.0156502	0.0900561	0.678929	0.709835	0.366209	0.0950144	0.326119	0.0309299	0.72428	0.394587	0.251696	0.486956	0.58777	0.433985	0.00930227	0.651367	0.000469237	0.00282165	0.0104638	0.890041	0.340842	0.0171075	0.00012436	0.0531685	0.0975462	0.0838173	0.346363	0.234147	0.14368	0.00450262	0.584152	0.959396	0.158321	3.2462e-10	0.657324	0.132627	0.294942	0.0171271	0.283325	0.00146041	0.768226	0.375854	0.82411	0.108782	0.599457	1.39505e-05	0.00155416	N/A	0.78139	4.25729e-13	0.0824594	0.514669	0.534145	0.646918	0.264881	0.5	0.5	0.5	0.5	0.555002	0.589766	0.000205384	0.372926	0.551624	0.282853	0.237207	0.617466	0.0163449	0.0268745	0.561559	0.0047416	0.561559	0.54731	0.588017	0.67153	0.765333	0.211212	0.881533	0.841353	0.440166	0.797972	0.721726	0.370789	0.866633	0.616617	0.422502	0.753455	0.0293805	0.000351752	0.450714	0.537906	0.842856	0.654503	0.929197	0.453578	0.921869	0.847685	0.662743	0.745938	0.315346	0.588017	0.687928	0.785538	0.261753	0.00240493	0.000419154	0.926212	0.037303	0.722964	0.000232426	0.378659	0.875659	0.215719	0.563317	0.756038	0.852076	0.589674	0.524244	0.781591	0.324637	0.741489	0.842219	0.789775	0.827624	0.743137	0.00127755	0.00358702	0.844752	0.852797	0.369765	0.456083	0.2852
62_fam	0.017311	0.5	0.5	0.5	0.5	0.5	0.5	0.00393473	1.9378e-24	0.5	0.5	0.412146	0.774876	0.777932	0.5	0.5	0.5	0.5	0.414112	0.414112	7.78908e-05	0.00250351	0.550731	0.0399317	0.450071	0.229678	0.133623	0.0581296	0.00241622	3.69646e-05	0.0644522	0.450903	0.347649	0.734436	0.542023	0.213137	0.0403482	0.00303009	0.477272	0.872102	0.722465	0.722465	0.661488	0.733533	0.881741	0.0159979	0.182337	0.0309299	0.394587	0.368778	0.892521	0.504081	0.0913788	0.0606065	0.468715	0.0116586	0.112266	0.143692	0.594245	0.246587	2.01667e-06	0.245914	0.631711	0.00898847	0.0448681	0.859521	0.768014	0.523861	0.000306635	0.324068	0.402948	0.0466077	6.83125e-12	0.344641	0.521659	0.3458	0.0681722	0.14399	7.86946e-07	0.524586	0.708201	0.194379	0.201461	0.618778	2.10865e-07	9.13566e-05	N/A	0.79893	1.37705e-15	0.0824594	0.514669	0.534145	0.646918	0.264881	0.5	0.5	0.5	0.5	0.555002	0.589766	0.00143523	0.372926	0.551624	0.282853	0.237207	0.617466	0.0210373	0.121521	0.564809	0.335376	0.564809	0.549877	0.592421	0.678465	0.772679	0.768177	0.881533	0.354344	0.452752	0.803756	0.907041	0.713473	0.458521	0.616617	0.212275	0.744392	0.440164	0.184266	0.346877	0.892456	0.370962	0.885819	0.156934	0.466688	0.775464	0.847685	0.669498	0.753444	0.655829	0.592421	0.695138	0.792572	0.901299	0.200783	0.260021	0.914249	0.349013	0.730485	0.00586423	0.84111	0.625874	0.936307	0.809572	0.763478	0.393987	0.191556	0.536786	0.789125	0.678516	0.758366	0.85524	0.806875	0.355049	0.77021	0.00286778	0.000754355	0.85753	0.864781	0.0795473	0.393568	0.104832
71_fam	0.336551	0.5	0.5	0.5	0.5	0.5	0.5	0.00393473	1.42195e-19	0.5	0.5	0.412146	0.774876	0.777932	0.5	0.5	0.5	0.5	0.414112	0.414112	0.000725228	0.0221425	0.423132	0.000251248	0.0216296	0.42094	0.00209124	0.75058	0.00152704	0.000859524	0.574397	0.435078	0.286463	0.74344	0.215972	0.484675	0.427146	0.00927934	0.266706	0.693978	0.484824	0.706752	0.700418	0.249226	0.852831	0.757138	0.223961	0.000907848	0.424468	0.368778	0.737449	0.355288	0.0268256	0.144644	0.426613	0.0270799	0.136969	0.178223	0.726663	0.907404	0.000223624	0.113207	0.5658	0.00109185	0.584669	0.859521	0.377105	0.503268	0.00199845	0.881205	0.576367	0.464978	6.61534e-15	0.0157868	0.0504434	0.25229	0.514851	0.0543098	8.62083e-05	0.37693	0.837493	0.562879	0.133912	0.299525	1.11312e-09	0.000168798	N/A	0.78139	4.25729e-13	0.0824594	0.514669	0.534145	0.646918	0.264881	0.5	0.5	0.5	0.5	0.555002	0.589766	0.00143523	0.372926	0.551624	0.282853	0.237207	0.617466	0.0163449	0.107987	0.55827	0.145139	0.55827	0.544721	0.583536	0.664324	0.757457	0.752866	0.440686	0.341199	0.00993811	0.324627	0.76057	0.742502	0.892827	0.857429	0.422502	0.753455	0.412635	0.160609	0.828556	0.885611	0.836967	0.643937	0.782538	0.9113	0.634935	0.398199	0.655741	0.737951	0.635703	0.583536	0.6804	0.777938	0.89478	0.596593	0.210808	0.904064	0.319979	0.715024	0.00910031	0.329299	0.859638	0.0921431	0.670052	0.748091	0.366451	0.168045	0.811756	0.781591	0.884291	0.608468	0.417695	0.322529	0.410285	0.267926	0.000380279	0.0128811	0.875911	0.203566	0.0804027	0.155872	0.0425434
74_fam	0.244193	0.5	0.5	0.5	0.5	0.5	0.5	0.0199078	2.49406e-14	0.5	0.5	0.412146	0.774876	0.777932	0.5	0.5	0.5	0.5	0.414112	0.414112	0.000173576	0.604591	0.958799	0.64254	0.740654	0.276349	0.00138538	0.424328	0.00942989	4.7955e-06	0.181546	0.592065	0.956784	0.935457	0.935457	0.0048944	0.0816561	0.0125682	0.242558	0.952825	0.497626	0.0337419	0.00268787	0.111593	0.11424	0.869631	0.495298	0.0210614	0.107076	0.335419	0.0239894	0.893527	0.000190825	0.067955	0.857347	0.00797055	0.0604875	0.162316	0.418146	0.907404	9.75162e-11	0.55536	0.355406	0.122106	0.20568	0.327439	0.438864	0.0949923	2.61458e-07	0.814049	0.233037	0.336133	1.91493e-08	0.264542	0.246573	0.485268	0.707635	0.26599	0.0002143	0.758595	0.209642	0.82411	0.201461	0.369755	2.53135e-12	3.97141e-05	N/A	0.78139	4.25729e-13	0.0824594	0.514669	0.534145	0.646918	0.264881	0.5	0.5	0.5	0.5	0.555002	0.589766	0.0100294	0.372926	0.551624	0.282853	0.237207	0.617466	0.0163449	0.107987	0.55827	0.908309	0.55827	0.544721	0.583536	0.664324	0.757457	0.752866	0.873295	0.829576	0.126002	0.797972	0.904585	0.898778	0.193341	0.593826	0.0147023	0.700373	0.412635	0.454325	0.817801	0.481506	0.3437	0.878422	0.423808	0.439496	0.759748	0.833882	0.100332	0.191961	0.0191424	0.592421	0.695138	0.792572	0.539432	0.106635	0.0599403	0.918249	0.137909	0.730485	0.0824637	0.825491	0.230134	0.187753	0.175617	0.763478	0.393987	0.0913389	0.824731	0.796087	0.353097	0.264501	0.571477	0.779816	0.81903	0.732585	0.00364394	0.112827	0.837032	0.845533	0.351096	0.0197483	0.00816858
76_fam	1.11551e-05	0.5	0.5	0.5	0.5	0.5	0.5	0.00393473	8.73675e-21	0.5	0.5	0.412146	0.774876	0.777932	0.5	0.5	0.5	0.5	0.414112	0.414112	0.00268835	0.0170763	0.453827	0.148292	0.670391	0.42094	0.00160456	6.0533e-06	0.0109079	8.28113e-09	0.792005	0.668341	0.2576	0.945877	0.542023	0.741777	0.092292	0.382009	0.544616	0.47755	0.781447	0.697825	0.42486	0.709835	0.5108	0.590634	0.467458	0.261827	0.146282	0.711277	0.232357	0.703098	0.624104	0.735325	0.602594	0.0444662	0.320793	0.267631	0.390919	0.296322	1.29291e-07	0.681827	0.221846	0.377748	0.213012	0.752956	0.949748	0.885677	0.000573523	0.742117	0.599171	0.441614	1.48454e-14	0.0393585	0.211826	0.227479	0.257511	0.00931447	2.89723e-08	0.204332	0.183831	0.479458	0.713481	0.531915	5.67107e-14	1.62425e-06	N/A	0.485947	1.5856e-14	0.0824594	0.514669	0.534145	0.646918	0.264881	0.5	0.5	0.5	0.5	0.555002	0.589766	0.00143523	0.372926	0.551624	0.282853	0.237207	0.617466	0.0882607	0.107987	0.55827	0.566753	0.55827	0.544721	0.583536	0.664324	0.757457	0.752866	0.873295	0.829576	0.238404	0.791767	0.714483	0.0971044	0.203584	0.85217	0.408109	0.744392	0.863927	0.931817	0.797991	0.881645	0.836967	0.874128	0.926948	0.9113	0.924442	0.383982	0.655741	0.182086	0.926945	0.588017	0.687928	0.785538	0.111583	0.079209	0.0709359	0.921734	0.95457	0.722964	0.183439	0.290834	0.579106	0.525287	0.563317	0.20489	0.393987	0.0913389	0.824731	0.796087	0.891628	0.772323	0.865578	0.820945	0.384228	0.246666	0.000843106	0.00973234	0.867664	0.87427	0.170958	0.0032639	0.00273286
83_fam	0.00599851	0.5	0.5	0.5	0.5	0.5	0.5	0.00393473	7.90899e-24	0.5	0.5	0.412146	0.774876	0.777932	0.5	0.5	0.5	0.5	0.414112	0.414112	5.57174e-07	0.813889	0.381198	0.03574	0.42189	0.201663	0.0243592	0.568122	0.0485008	5.0961e-06	0.0151115	0.850135	0.0424093	0.361565	0.232506	0.000291803	0.95482	0.145292	0.72748	0.548058	0.872006	0.307569	0.790121	0.873262	0.857632	0.5108	0.0367725	0.00812749	0.377894	0.622487	0.00514979	0.718985	0.0913788	0.386051	0.302418	0.0880324	0.000695761	0.247591	0.713099	0.713099	5.79603e-06	0.815034	0.392743	0.206692	0.0157877	0.278352	0.77458	0.737178	0.000142037	0.808851	0.588236	0.148378	1.8269e-11	0.0539299	0.283423	0.781719	0.42288	0.0213301	3.64779e-05	0.77679	0.245889	0.943304	0.327819	0.618778	4.6037e-06	0.000461168	N/A	0.79893	1.37705e-15	0.0824594	0.514669	0.534145	0.646918	0.264881	0.5	0.5	0.5	0.5	0.555002	0.589766	0.00143523	0.372926	0.551624	0.282853	0.237207	0.617466	0.0943192	0.672538	0.55827	0.908309	0.55827	0.544721	0.583536	0.664324	0.757457	0.752866	0.873295	0.327398	0.658243	0.785102	0.38371	0.885549	0.149974	0.593826	0.392657	0.734624	0.863927	0.796395	0.790166	0.467705	0.836967	0.874128	0.926948	0.739041	0.768004	0.841195	0.655741	0.182086	0.409744	0.588017	0.687928	0.785538	0.527272	0.200783	0.662926	0.3383	0.126737	0.722964	0.0170555	0.829774	0.604486	0.352642	0.679651	0.756038	0.380604	0.0529884	0.818537	0.789125	0.339275	0.750353	0.849126	0.798754	0.835225	0.752876	0.0212667	0.121096	0.851532	0.85916	0.135581	0.393568	0.186738
86_fam	0.00135224	0.5	0.5	0.5	0.5	0.5	0.5	0.00393473	1.42195e-19	0.5	0.5	0.412146	0.774876	0.777932	0.5	0.5	0.5	0.5	0.414112	0.414112	2.32133e-06	0.423779	0.88084	0.041946	0.813115	0.42094	0.0758747	0.251511	4.09506e-05	7.82481e-10	0.159509	0.0863659	0.191495	0.713181	0.713181	0.177882	0.865605	0.145292	0.187684	0.840916	0.867956	0.955645	0.222215	0.790121	0.602137	0.0950144	0.151842	0.0838713	0.524794	0.335419	0.810736	0.492102	0.0406159	0.371998	0.813129	0.694182	0.22715	0.722179	0.632602	0.773965	3.53906e-09	0.602932	0.602932	0.225258	0.30752	0.503349	0.249754	0.147173	9.57936e-09	0.371929	0.402948	0.384562	3.2462e-10	0.307544	0.187059	0.802198	0.468038	0.00931447	1.25808e-06	0.932217	0.440237	0.223294	0.705263	0.635561	4.94334e-08	2.22303e-05	N/A	0.79893	1.37705e-15	0.0824594	0.514669	0.534145	0.646918	0.264881	0.5	0.5	0.5	0.5	0.555002	0.589766	0.00143523	0.372926	0.551624	0.282853	0.237207	0.617466	0.0943192	0.672538	0.55827	0.566753	0.55827	0.544721	0.583536	0.664324	0.757457	0.752866	0.873295	0.327398	0.252768	0.797972	0.408922	0.892785	0.434138	0.593826	0.185024	0.724083	0.863927	0.796395	0.790166	0.881645	0.836967	0.874128	0.645977	0.439496	0.759748	0.833882	0.655741	0.182086	0.646193	0.588017	0.687928	0.785538	0.898199	0.918168	0.922529	0.904064	0.95457	0.722964	0.0113092	0.33818	0.619126	0.372026	0.803977	0.756038	0.130692	0.0593476	0.818537	0.789125	0.888144	0.92087	0.865578	0.820945	0.853468	0.777933	0.0348873	0.0739718	0.867664	0.87427	0.170958	0.168714	0.121519
90_fam	0.00165124	0.5	0.5	0.5	0.5	0.5	0.5	0.00393473	2.82553e-26	0.5	0.5	0.412146	0.774876	0.777932	0.5	0.5	0.5	0.5	0.414112	0.414112	0.00254696	0.961198	0.410085	3.70072e-05	0.590643	0.352444	0.00104292	0.251511	0.00196933	2.63125e-08	0.311992	0.360286	0.184541	0.571071	0.228511	0.0534396	0.361204	3.2086e-05	0.0609706	0.546296	0.863496	0.330285	0.0252094	0.249226	0.684962	0.148951	0.340253	0.141638	0.226718	0.296662	0.458056	0.956473	0.54913	0.878466	0.736335	0.381537	0.0793572	0.951495	0.358337	0.474419	4.93582e-09	0.689681	0.233754	0.0349259	0.0957089	0.216961	0.768014	0.39363	8.79384e-06	0.517699	0.509036	0.127993	4.8618e-11	0.624996	0.0310532	0.920754	0.405222	0.00327791	2.97669e-08	0.475333	0.114196	0.589329	0.590591	0.456844	2.1752e-09	0.000242668	N/A	0.78139	4.25729e-13	0.0824594	0.514669	0.534145	0.646918	0.264881	0.5	0.5	0.5	0.5	0.555002	0.589766	0.00143523	0.372926	0.551624	0.282853	0.237207	0.617466	0.0821582	0.101121	0.554942	0.133111	0.554942	0.542109	0.578976	0.656835	0.749005	0.744387	0.630315	0.815174	0.0688138	0.791767	0.714483	0.507309	0.446694	0.566654	0.155865	0.700373	0.397471	0.052184	0.833343	0.66211	0.830438	0.86934	0.393761	0.214057	0.441846	0.805261	0.648482	0.172004	0.635703	0.583536	0.6804	0.777938	0.247673	0.200783	0.433682	0.3383	0.769146	0.715024	0.014207	0.825491	0.230134	0.535073	0.670052	0.748091	0.366451	0.0755516	0.811756	0.781591	0.324637	0.44401	0.834361	0.779816	0.81903	0.732585	0.0138217	0.0170431	0.837032	0.362328	0.369765	0.092601	0.0233638
