FamilyID	Amborella_trichopoda<1>	Hordeum_vulgare<2>	Secale_cereale<3>	Triticum_turgidum<4>	Aegilops_tauschii<5>	Triticum_aestivum<6>	Brachypodium_distachyon<7>	Sorghum_bicolor<8>	Zea_mays<9>	Setaria_viridis<10>	Setaria_italica<11>	Oropetium_thomaeum<12>	Ananas_comosus<13>	Musa_acuminata<14>	Calamus_simplicifolius<15>	Elaeis_guineensis<16>	Allium_sativum<17>	Asparagus_officinalis<18>	Zostera_marina<19>	Spirodela_polyrhiza<20>	Magnolia_biondii<21>	Ceratophyllum_demersum<22>	Aquilegia_oxysepala<23>	Papaver_somniferum<24>	Nelumbo_nucifera<25>	Trochodendron_aralioides<26>	Nicotiana_tabacum<27>	Capsicum_annuum<28>	Solanum_pennellii<29>	Solanum_lycopersicum<30>	Solanum_tuberosum<31>	Petunia_axillaris<32>	Coffea_canephora<33>	Striga_asiatica<34>	Avicennia_marina<35>	Utricularia_gibba<36>	Olea_europaea<37>	Helianthus_annuus<38>	Erigeron_canadensis<39>	Lactuca_sativa<40>	Daucus_carota<41>	Lonicera_japonica<42>	Davidia_involucrata<43>	Hydrangea_macrophylla<44>	Rhododendron_simsii<45>	Actinidia_chinensis<46>	Beta_vulgaris<47>	Chenopodium_quinoa<48>	Amaranthus_hybridus<49>	Simmondsia_chinensis<50>	Vitis_vinifera<51>	Punica_granatum<52>	Eucalyptus_grandis<53>	Cannabis_sativa<54>	Fragaria_vesca<55>	Rosa_chinensis<56>	Malus_domestica<57>	Prunus_persica<58>	Cucumis_melo<59>	Citrullus_lanatus<60>	Glycine_max<61>	Medicago_truncatula<62>	Trifolium_pratense<63>	Lotus_japonicus<64>	Arachis_hypogaea<65>	Carya_illinoinensis<66>	Carpinus_fangiana<67>	Manihot_esculenta<68>	Populus_trichocarpa<69>	Tripterygium_wilfordii<70>	Citrus_clementina<71>	Brassica_rapa<72>	Brassica_napus<73>	Brassica_oleracea<74>	Schrenkiella_parvula<75>	Eutrema_salsugineum<76>	Capsella_rubella<77>	Arabidopsis_lyrata<78>	Arabidopsis_thaliana<79>	Cardamine_hirsuta<80>	Aethionema_arabicum<81>	Tarenaya_hassleriana<82>	Carica_papaya<83>	Durio_zibethinus<84>	Gossypium_hirsutum<85>	Gossypium_raimondii<86>	<87>	<88>	<89>	<90>	<91>	<92>	<93>	<94>	<95>	<96>	<97>	<98>	<99>	<100>	<101>	<102>	<103>	<104>	<105>	<106>	<107>	<108>	<109>	<110>	<111>	<112>	<113>	<114>	<115>	<116>	<117>	<118>	<119>	<120>	<121>	<122>	<123>	<124>	<125>	<126>	<127>	<128>	<129>	<130>	<131>	<132>	<133>	<134>	<135>	<136>	<137>	<138>	<139>	<140>	<141>	<142>	<143>	<144>	<145>	<146>	<147>	<148>	<149>	<150>	<151>	<152>	<153>	<154>	<155>	<156>	<157>	<158>	<159>	<160>	<161>	<162>	<163>	<164>	<165>	<166>	<167>	<168>	<169>	<170>	<171>
44_fam	10	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	7	19	7	14	9	17	19	9	9	31	10	9	8	7	12	1	20	16	9	9	8	6	9	11	10	10	9	13	4	8	10	8	7	9	9	16	13	8	9	8	44	11	9	9	22	13	5	18	31	11	9	15	41	14	10	11	11	12	22	10	11	14	7	17	34	16	7	7	1	1	1	1	1	0	0	0	0	0	1	1	3	0	1	0	0	1	8	9	9	9	9	9	9	9	9	9	9	9	11	11	11	12	14	9	8	8	9	10	10	9	9	9	9	9	9	9	9	10	9	10	10	10	10	10	11	10	9	10	15	15	14	11	9	11	12	16	11	11	11	12	12	12	12	12	16	18	12	13	15	17	22
46_fam	39	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	48	15	6	48	9	36	44	30	14	30	23	32	23	8	7	2	20	26	16	19	5	42	39	35	23	13	36	62	20	8	20	23	52	15	22	23	24	22	11	10	61	31	22	14	16	34	13	32	67	25	24	15	35	21	10	13	13	16	32	16	8	7	14	28	49	28	17	17	2	1	1	1	1	0	0	0	0	0	1	1	4	0	1	0	0	2	19	20	20	21	20	20	20	20	20	20	19	20	27	27	26	24	23	16	10	10	20	20	20	20	21	24	19	21	29	33	20	21	26	21	21	21	21	22	22	22	12	21	24	25	24	25	22	21	24	31	21	21	18	14	14	14	14	14	19	22	15	16	19	29	36
56_fam	16	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	21	33	27	65	19	22	34	23	12	26	12	17	17	22	12	7	20	52	35	51	32	20	13	11	24	12	23	13	11	9	12	11	10	7	43	60	43	17	8	6	46	54	28	23	41	18	10	11	33	13	15	17	39	23	9	10	8	12	20	12	10	13	7	16	29	16	13	13	2	1	1	1	1	0	0	0	0	0	1	1	5	0	1	0	0	2	15	17	17	24	17	17	17	17	17	18	18	18	20	20	19	17	17	17	15	15	22	36	37	23	17	16	17	15	15	15	17	17	14	17	17	17	19	28	41	28	8	17	31	32	32	36	15	17	17	18	16	16	14	13	13	13	13	13	20	24	13	13	14	18	21
62_fam	29	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	45	38	22	32	21	24	27	28	14	32	15	17	23	12	11	9	27	39	20	23	20	20	20	16	23	36	10	23	11	11	16	15	27	9	21	34	27	15	14	10	58	31	25	15	39	17	15	18	44	13	12	19	46	26	14	13	11	15	30	13	13	10	10	18	36	18	15	15	2	1	1	1	1	0	0	0	0	0	1	1	4	0	1	0	0	2	17	18	18	20	18	18	18	18	18	18	18	19	21	21	21	20	21	17	14	14	19	23	24	19	19	19	23	16	15	15	18	18	19	18	18	18	18	21	24	21	13	18	28	28	27	27	17	18	19	22	17	17	16	15	15	15	16	16	23	28	15	15	18	20	25
71_fam	17	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	37	29	14	43	29	19	43	27	17	34	23	29	12	13	10	17	20	33	16	22	13	18	16	9	15	13	13	33	13	11	13	12	28	9	17	28	22	12	10	11	47	37	33	12	27	17	20	16	37	15	12	29	58	30	15	16	19	20	34	16	18	14	9	17	42	21	13	13	2	1	1	1	1	0	0	0	0	0	1	1	4	0	1	0	0	2	15	16	16	19	16	16	16	16	16	16	17	18	26	27	26	25	25	17	15	15	17	21	21	17	16	15	15	16	17	18	16	16	17	16	16	16	16	17	20	17	11	16	25	26	26	31	17	16	17	20	16	16	16	17	18	19	20	21	31	35	19	21	24	21	28
74_fam	18	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	40	12	15	17	13	21	35	17	16	35	16	17	15	9	9	2	23	30	14	18	14	29	34	9	26	19	10	21	7	9	30	25	50	10	28	41	31	17	9	11	66	16	15	15	30	26	25	14	58	19	11	16	32	18	9	10	11	11	20	11	8	13	10	24	58	30	13	13	2	1	1	1	1	0	0	0	0	0	1	1	3	0	1	0	0	2	15	16	16	16	16	16	16	16	16	16	16	16	20	20	20	20	22	15	10	10	17	19	19	18	17	17	19	14	13	13	17	18	25	18	18	18	19	23	29	23	11	18	24	24	22	18	22	18	19	23	18	18	16	13	12	12	12	12	18	20	12	12	13	28	39
76_fam	47	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	34	30	20	24	17	19	33	5	17	41	20	20	10	13	11	12	24	19	13	18	14	17	19	13	18	13	19	21	10	13	9	18	14	21	33	40	29	20	18	13	53	20	15	17	15	13	14	23	44	16	14	26	54	28	15	14	14	14	33	13	12	19	19	28	66	33	15	14	2	1	1	1	1	0	0	0	0	0	1	1	4	0	1	0	0	2	15	16	16	17	16	16	16	16	16	16	16	16	19	19	18	21	23	16	14	14	16	16	16	16	16	16	16	16	16	17	16	17	17	17	17	17	20	25	31	25	16	17	21	22	21	19	15	18	19	23	18	18	18	17	17	17	18	19	28	32	17	17	19	31	44
83_fam	32	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	54	16	11	27	19	22	27	14	14	30	10	18	27	16	17	2	14	20	13	12	17	21	16	14	16	18	7	24	10	16	33	20	27	13	18	28	39	18	9	9	52	20	18	18	38	22	16	24	47	18	13	16	37	18	11	13	12	12	25	13	10	13	10	18	33	18	15	15	2	1	1	1	1	0	0	0	0	0	1	1	4	0	1	0	0	2	16	16	16	16	16	16	16	16	16	16	16	17	18	18	16	16	18	15	13	13	16	15	15	17	16	16	16	15	14	14	16	17	19	17	17	17	18	21	22	23	10	17	25	25	24	21	18	17	18	23	17	17	15	14	14	14	14	14	19	21	14	14	16	20	24
86_fam	36	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	51	19	15	28	16	19	27	14	10	37	14	27	23	10	10	7	15	20	10	15	16	15	21	16	14	24	8	19	10	9	16	14	28	12	16	18	21	15	17	15	66	21	21	20	31	18	11	16	65	23	12	20	39	22	13	16	15	14	31	17	14	12	18	20	39	19	15	15	2	1	1	1	1	0	0	0	0	0	1	1	4	0	1	0	0	2	16	16	16	17	16	16	16	16	16	16	16	17	20	20	18	18	19	15	12	12	16	15	15	16	16	16	17	14	13	13	16	17	18	17	17	17	17	17	17	17	16	17	26	27	26	23	16	17	19	24	17	17	17	17	17	17	17	17	22	24	17	17	19	22	27
90_fam	32	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	32	14	13	45	11	19	34	14	13	36	16	22	8	11	6	4	16	44	14	24	15	10	26	9	18	23	7	14	6	7	10	16	19	16	24	26	30	22	16	12	61	21	16	13	32	22	15	16	49	19	18	14	35	19	7	12	11	9	27	10	7	13	11	19	44	23	13	13	2	1	1	1	1	0	0	0	0	0	1	1	4	0	1	0	0	2	14	15	15	18	15	15	15	15	15	15	14	14	19	19	18	19	20	13	10	10	16	22	22	15	15	15	17	12	10	10	15	16	17	16	16	16	18	21	23	23	14	16	24	24	22	20	17	16	17	21	16	16	14	12	12	12	12	12	17	20	12	13	14	22	30
