#FamilyID	Likelihood of Family
44_fam	-393.858
46_fam	-527.915
56_fam	-484.038
62_fam	-464.164
71_fam	-450.345
74_fam	-455.862
76_fam	-487.243
83_fam	-443.508
86_fam	-451.078
90_fam	-481.594
93_fam	-434.361
98_fam	-409.043
101_fam	-433.717
102_fam	-370.787
103_fam	-463.441
104_fam	-402.255
105_fam	-457.187
109_fam	-385.946
110_fam	-406.77
111_fam	-347.432
112_fam	-387.671
114_fam	-364.454
118_fam	-355.258
120_fam	-375.415
125_fam	-362.695
126_fam	-389.309
127_fam	-408.952
129_fam	-531.34
130_fam	-409.154
131_fam	-450.613
132_fam	-436.114
133_fam	-434.772
136_fam	-361.279
137_fam	-19.8015
139_fam	-353.473
140_fam	-392.55
142_fam	-343.189
144_fam	-377.711
146_fam	-358.829
148_fam	-334.581
152_fam	-392.312
153_fam	-364.341
154_fam	-324.283
155_fam	-375.362
156_fam	-396.791
159_fam	-449.98
160_fam	-329.004
162_fam	-340.701
165_fam	-418.874
166_fam	-421.33
167_fam	-358.041
169_fam	-348.882
170_fam	-330.352
171_fam	-301.34
172_fam	-311.886
173_fam	-381.818
174_fam	-365.641
175_fam	-320.786
177_fam	-315.308
178_fam	-400.917
180_fam	-324.359
186_fam	-338.096
187_fam	-371.787
188_fam	-301.033
191_fam	-406.822
193_fam	-374.58
194_fam	-354.756
195_fam	-307.028
196_fam	-351.849
198_fam	-486.975
199_fam	-308.302
201_fam	-346.355
204_fam	-334.673
205_fam	-312.076
206_fam	-318.883
209_fam	-391.166
211_fam	-298.19
213_fam	-313.563
214_fam	-489.731
216_fam	-394.693
217_fam	-397.558
218_fam	-329.536
219_fam	-322.279
221_fam	-301.405
222_fam	-340.938
224_fam	-526.932
226_fam	-300.587
227_fam	-312.882
229_fam	-281.173
230_fam	-303.008
231_fam	-292.846
234_fam	-299.138
236_fam	-295.17
237_fam	-336.826
238_fam	-288.845
239_fam	-316.21
240_fam	-269.476
241_fam	-317.645
242_fam	-427.633
243_fam	-302.133
244_fam	-315.984
245_fam	-309.535
246_fam	-306.621
247_fam	-424.535
248_fam	-301.802
249_fam	-351.627
250_fam	-290
252_fam	-396.335
253_fam	-306.107
254_fam	-309.214
255_fam	-426.275
256_fam	-282.106
257_fam	-449.653
258_fam	-286.399
259_fam	-293.014
260_fam	-463.31
261_fam	-300.956
264_fam	-286.881
266_fam	-333.81
267_fam	-309.31
268_fam	-299.518
269_fam	-341.779
270_fam	-293.32
271_fam	-370.672
272_fam	-289.022
274_fam	-262.211
275_fam	-292.688
276_fam	-285.886
277_fam	-267.883
278_fam	-267.716
280_fam	-302.931
281_fam	-271.944
282_fam	-289.267
283_fam	-357.834
284_fam	-329.955
