#FamilyID	pvalue	Significant at 0.05
44_fam	0	y
46_fam	0	y
56_fam	0	y
62_fam	0	y
71_fam	0	y
74_fam	0	y
76_fam	0	y
83_fam	0	y
86_fam	0	y
90_fam	0	y
93_fam	0	y
98_fam	0	y
101_fam	0	y
102_fam	0	y
103_fam	0	y
104_fam	0	y
105_fam	0	y
109_fam	0	y
110_fam	0	y
111_fam	0	y
112_fam	0	y
114_fam	0	y
118_fam	0	y
120_fam	0	y
125_fam	0	y
126_fam	0	y
127_fam	0	y
129_fam	0	y
130_fam	0	y
131_fam	0	y
132_fam	0	y
133_fam	0	y
136_fam	0	y
137_fam	0.999	n
139_fam	0	y
140_fam	0	y
142_fam	0	y
144_fam	0	y
146_fam	0	y
148_fam	0	y
152_fam	0	y
153_fam	0	y
154_fam	0	y
155_fam	0	y
156_fam	0	y
159_fam	0	y
160_fam	0	y
162_fam	0	y
165_fam	0	y
166_fam	0	y
167_fam	0	y
169_fam	0	y
170_fam	0	y
171_fam	0	y
172_fam	0	y
173_fam	0	y
174_fam	0	y
175_fam	0	y
177_fam	0	y
178_fam	0	y
180_fam	0	y
186_fam	0	y
187_fam	0	y
188_fam	0	y
191_fam	0	y
193_fam	0	y
194_fam	0	y
195_fam	0	y
196_fam	0	y
198_fam	0	y
199_fam	0	y
201_fam	0	y
204_fam	0	y
205_fam	0	y
206_fam	0	y
209_fam	0	y
211_fam	0	y
213_fam	0	y
214_fam	0	y
216_fam	0	y
217_fam	0	y
218_fam	0	y
219_fam	0	y
221_fam	0	y
222_fam	0	y
224_fam	0	y
226_fam	0	y
227_fam	0	y
229_fam	0	y
230_fam	0	y
231_fam	0	y
234_fam	0	y
236_fam	0	y
237_fam	0	y
238_fam	0	y
239_fam	0	y
240_fam	0	y
241_fam	0	y
242_fam	0	y
243_fam	0	y
244_fam	0	y
245_fam	0	y
246_fam	0	y
247_fam	0	y
248_fam	0	y
249_fam	0	y
250_fam	0	y
252_fam	0	y
253_fam	0	y
254_fam	0	y
255_fam	0	y
256_fam	0	y
257_fam	0	y
258_fam	0	y
259_fam	0	y
260_fam	0	y
261_fam	0	y
264_fam	0	y
266_fam	0	y
267_fam	0	y
268_fam	0	y
269_fam	0	y
270_fam	0	y
271_fam	0	y
272_fam	0	y
274_fam	0.001	y
275_fam	0	y
276_fam	0	y
277_fam	0	y
278_fam	0	y
280_fam	0	y
281_fam	0	y
282_fam	0	y
283_fam	0	y
284_fam	0	y
285_fam	0	y
287_fam	0.002	y
289_fam	0	y
290_fam	0	y
291_fam	0	y
293_fam	0	y
294_fam	0.048	y
295_fam	0	y
296_fam	0	y
297_fam	0	y
299_fam	0	y
301_fam	0	y
302_fam	0	y
304_fam	0	y
306_fam	0	y
308_fam	0	y
309_fam	0	y
310_fam	0	y
311_fam	0	y
312_fam	0	y
313_fam	0	y
314_fam	0.132	n
315_fam	0	y
316_fam	0	y
317_fam	0	y
319_fam	0	y
320_fam	0	y
321_fam	0	y
322_fam	0	y
323_fam	0.005	y
324_fam	0.016	y
325_fam	0.007	y
326_fam	0	y
327_fam	0.235	n
328_fam	0	y
330_fam	0	y
332_fam	0	y
333_fam	0	y
334_fam	0	y
335_fam	0.001	y
337_fam	0	y
338_fam	0	y
339_fam	0	y
340_fam	0	y
341_fam	0	y
342_fam	0	y
343_fam	0	y
344_fam	0	y
345_fam	0	y
346_fam	0	y
347_fam	0.001	y
348_fam	0.999	n
350_fam	0.023	y
352_fam	0.004	y
353_fam	0.002	y
354_fam	0.999	n
355_fam	0	y
356_fam	0	y
358_fam	0	y
359_fam	0.315	n
360_fam	0	y
361_fam	0	y
362_fam	0	y
363_fam	0	y
364_fam	0	y
365_fam	0.003	y
367_fam	0	y
368_fam	0.036	y
369_fam	0	y
371_fam	0	y
372_fam	0	y
373_fam	0	y
375_fam	0	y
376_fam	0	y
378_fam	0.003	y
380_fam	0.001	y
381_fam	0	y
382_fam	0.004	y
383_fam	0.002	y
384_fam	0.017	y
385_fam	0	y
387_fam	0	y
391_fam	0.003	y
392_fam	0.111	n
394_fam	0	y
395_fam	0.005	y
396_fam	0.019	y
398_fam	0	y
399_fam	0.034	y
400_fam	0.016	y
401_fam	0.002	y
402_fam	0.156	n
403_fam	0	y
406_fam	0	y
408_fam	0.025	y
409_fam	0	y
410_fam	0	y
411_fam	0	y
412_fam	0	y
413_fam	0	y
415_fam	0	y
416_fam	0.175	n
417_fam	0	y
418_fam	0.157	n
419_fam	0.011	y
420_fam	0.016	y
422_fam	0	y
423_fam	0.073	n
424_fam	0.007	y
425_fam	0	y
426_fam	0.536	n
427_fam	0.103	n
429_fam	0	y
430_fam	0.14	n
431_fam	0	y
432_fam	0.002	y
433_fam	0	y
434_fam	0.036	y
435_fam	0	y
436_fam	0.003	y
437_fam	0	y
438_fam	0.003	y
439_fam	0.071	n
440_fam	0	y
441_fam	0.099	n
443_fam	0.005	y
444_fam	0.337	n
445_fam	0.013	y
446_fam	0	y
448_fam	0.016	y
450_fam	0.19	n
451_fam	0.016	y
452_fam	0	y
453_fam	0	y
454_fam	0.111	n
455_fam	0.007	y
456_fam	0	y
458_fam	0.837	n
460_fam	0.073	n
461_fam	0.468	n
464_fam	0.534	n
465_fam	0.114	n
466_fam	0	y
467_fam	0	y
469_fam	0.005	y
470_fam	0.096	n
472_fam	0.15	n
473_fam	0.003	y
474_fam	0	y
475_fam	0.002	y
476_fam	0.638	n
477_fam	0.078	n
479_fam	0.016	y
480_fam	0	y
481_fam	0	y
482_fam	0	y
483_fam	0.154	n
484_fam	0.112	n
485_fam	0	y
486_fam	0.001	y
487_fam	0	y
488_fam	0.133	n
489_fam	0	y
490_fam	0.003	y
491_fam	0.103	n
492_fam	0.007	y
493_fam	0.05	n
494_fam	0.006	y
495_fam	0.014	y
496_fam	0.112	n
497_fam	0	y
498_fam	0.339	n
499_fam	0	y
500_fam	0.567	n
501_fam	0.936	n
502_fam	0.034	y
503_fam	0	y
504_fam	0.103	n
505_fam	0.036	y
506_fam	0	y
507_fam	0	y
508_fam	0.999	n
509_fam	0.066	n
510_fam	0.07	n
511_fam	0	y
512_fam	0.138	n
515_fam	0.259	n
516_fam	0.057	n
517_fam	0.018	y
518_fam	0.035	y
519_fam	0.833	n
520_fam	0.001	y
521_fam	0	y
522_fam	0	y
523_fam	0.002	y
526_fam	0.007	y
527_fam	0.311	n
529_fam	0.016	y
531_fam	0.029	y
532_fam	0.455	n
533_fam	0.411	n
534_fam	0.283	n
535_fam	0.117	n
536_fam	0.901	n
537_fam	0.068	n
539_fam	0.069	n
541_fam	0.007	y
542_fam	0.552	n
543_fam	0	y
544_fam	0.646	n
547_fam	0.999	n
548_fam	0	y
550_fam	0.629	n
551_fam	0.294	n
552_fam	0.39	n
553_fam	0.042	y
554_fam	0.66	n
555_fam	0.007	y
556_fam	0.999	n
557_fam	0.768	n
558_fam	0.361	n
559_fam	0.012	y
560_fam	0.99	n
561_fam	0.005	y
562_fam	0.952	n
564_fam	0	y
565_fam	0.227	n
566_fam	0.981	n
568_fam	0.058	n
569_fam	0.031	y
570_fam	0.009	y
571_fam	0.055	n
573_fam	0.909	n
574_fam	0.016	y
575_fam	0.005	y
576_fam	0.999	n
578_fam	0.827	n
579_fam	0	y
580_fam	0.244	n
581_fam	0.602	n
582_fam	0.808	n
583_fam	0.035	y
584_fam	0.114	n
585_fam	0.004	y
586_fam	0.056	n
589_fam	0	y
591_fam	0.492	n
592_fam	0	y
593_fam	0.533	n
594_fam	0	y
595_fam	0.917	n
596_fam	0	y
597_fam	0.307	n
598_fam	0.013	y
599_fam	0.007	y
600_fam	0.096	n
602_fam	0	y
603_fam	0.544	n
604_fam	0.782	n
605_fam	0.271	n
606_fam	0.289	n
607_fam	0.542	n
608_fam	0.078	n
609_fam	0.445	n
610_fam	0.875	n
612_fam	0	y
613_fam	0.336	n
614_fam	0.137	n
615_fam	0.683	n
616_fam	0	y
617_fam	0.977	n
618_fam	0.999	n
619_fam	0.01	y
620_fam	0.995	n
622_fam	0.994	n
623_fam	0.993	n
624_fam	0.016	y
625_fam	0.198	n
628_fam	0.782	n
629_fam	0	y
630_fam	0	y
631_fam	0.994	n
632_fam	0.646	n
634_fam	0.837	n
636_fam	0.283	n
637_fam	0.433	n
638_fam	0.003	y
639_fam	0.111	n
640_fam	0	y
641_fam	0.776	n
642_fam	0	y
643_fam	0.998	n
644_fam	0.966	n
645_fam	0.909	n
647_fam	0.345	n
648_fam	0.936	n
649_fam	0.612	n
650_fam	0.138	n
651_fam	0	y
