# PLAZA instance : monocots_05
# File generation timestamp : Fri Sep 17 10:54:33 CEST 2021
species	common_name	tax_id	source	data_provider	pubmed_id
aag	Anthoceros agrestis	41834	v1.1	https://www.hornworts.uzh.ch/en.html	32170292
aco	Ananas comosus	4615	JGI v3.0	https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Acomosus	26523774
aof	Asparagus officinalis	4686	v1.1	https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Aofficinalis_er	29093472
asa	Allium sativum	4682	V1.0	https://www.ncbi.nlm.nih.gov/genome?LinkName=bioproject_genome&from_uid=606385	32730994
ata	Aegilops tauschii	37682	Aet V4.0	https://plants.ensembl.org/Aegilops_tauschii/Info/Annotation/#assembly	29143815
ath	Arabidopsis thaliana	3702	Araport11	https://www.araport.org/	27862469
atr	Amborella trichopoda	13333	JGI v1.0	https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Atrichopoda	24357323
bdi	Brachypodium distachyon	15368	JGI v3.2	https://phytozome-next.jgi.doe.gov/info/Bdistachyon_v3_2	20148030
calsi	Calamus simplicifolius	746888	v1.0	http://gigadb.org/dataset/101052	30101322
cbr	Chara braunii	69332	Cbr1.0	https://plants.ensembl.org/Chara_braunii/Info/Index	30007417
cde	Ceratophyllum demersum	4428	v1.0	https://genomevolution.org/CoGe/GenomeInfo.pl?gid=56572	32094642
cpu	Cenchrus purpureus	154765	v1.0	https://ngdc.cncb.ac.cn/search/?dbId=&q=GWHAORA00000000	33040437
cre	Chlamydomonas reinhardtii	3055	JGI v5.5	https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Creinhardtii	17932292
ddu	Dioscorea dumetorum	167584	Trifoliate Yam v1.0	https://pub.uni-bielefeld.de/record/2941469	32143301
dex	Digitaria exilis	1010633	Dexi_CM05836 v1	https://datadryad.org/stash/dataset/doi:10.5061/dryad.2v6wwpzj0	32901040
ecu	Eragrostis curvula	38414	CERZOS_E.curvula1.0	https://plants.ensembl.org/Eragrostis_curvula/Info/Index	31308395
egu	Elaeis guineensis	51953	EG5.1	http://genomsawit.mpob.gov.my	23883927
gma	Glycine max	3847	JGI Wm82.a4.v1	https://phytozome-next.jgi.doe.gov/info/Gmax_Wm82_a4_v1	31433882
hvu	Hordeum vulgare	4513	Morex v2	https://webblast.ipk-gatersleben.de/downloads/barley_pangenome/Morex/	33239781
lpe	Lolium perenne	4522	2.6.1-v3	https://ryegrassgenome.ghpc.au.dk/	26408275
mac	Musa acuminata	4641	Banana Genome v2.0	https://banana-genome-hub.southgreen.fr/download	22801500
mbi	Magnolia biondii	86725	v1.0	https://doi.org/10.5061/dryad.s4mw6m947	33642574
mco	Micromonas commoda	296587	JGI v3.0	https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_MspRCC299	19359590
mpo	Marchantia polymorpha	3197	JGI v3.1	https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Mpolymorpha	28985561
msi	Miscanthus sinensis	62337	v7.1	https://phytozome-next.jgi.doe.gov/info/Msinensis_v7_1	33116128
oal	Oryza alta	52545	OAv1	https://bigd.big.ac.cn/gwh/Assembly/17984/show	33539781
obr	Oryza brachyantha	4533	Ensembl Plants v1.4b	http://plants.ensembl.org/Oryza_brachyantha/Info/Index	23518283
osa	Oryza sativa ssp. japonica	39947	IRGSP-1.0-2021-05-10	 https://rapdb.dna.affrc.go.jp	16100779
osaindica	Oryza sativa ssp. indica	39946	MBKBASE v1.0	http://www.mbkbase.org/R498/	11935017
