species	name	taxid	ncbi_species	family	order	class	superclass	subphylum	phylum
aag	Anthoceros agrestis	41834	Anthoceros agrestis	Anthocerotaceae	Anthocerotales	Anthocerotopsida	NA	Streptophytina	Streptophyta
aar	Aethionema arabicum	228871	Aethionema arabicum	Brassicaceae	Brassicales	Magnoliopsida	NA	Streptophytina	Streptophyta
acertr	Acer truncatum	47965	Acer truncatum	Sapindaceae	Sapindales	Magnoliopsida	NA	Streptophytina	Streptophyta
ach	Actinidia chinensis	3625	Actinidia chinensis	Actinidiaceae	Ericales	Magnoliopsida	NA	Streptophytina	Streptophyta
aly	Arabidopsis lyrata	59689	Arabidopsis lyrata	Brassicaceae	Brassicales	Magnoliopsida	NA	Streptophytina	Streptophyta
ama	Avicennia marina	82927	Avicennia marina	Acanthaceae	Lamiales	Magnoliopsida	NA	Streptophytina	Streptophyta
amhyb	Amaranthus hybridus	3565	Amaranthus hybridus	Amaranthaceae	Caryophyllales	Magnoliopsida	NA	Streptophytina	Streptophyta
aox	Aquilegia oxysepala	432649	Aquilegia oxysepala	Ranunculaceae	Ranunculales	Magnoliopsida	NA	Streptophytina	Streptophyta
arhy	Arachis hypogaea	3818	Arachis hypogaea	Fabaceae	Fabales	Magnoliopsida	NA	Streptophytina	Streptophyta
ath	Arabidopsis thaliana	3702	Arabidopsis thaliana	Brassicaceae	Brassicales	Magnoliopsida	NA	Streptophytina	Streptophyta
atr	Amborella trichopoda	13333	Amborella trichopoda	Amborellaceae	Amborellales	Magnoliopsida	NA	Streptophytina	Streptophyta
bca	Brassica carinata	52824	Brassica carinata	Brassicaceae	Brassicales	Magnoliopsida	NA	Streptophytina	Streptophyta
bna	Brassica napus	3708	Brassica napus	Brassicaceae	Brassicales	Magnoliopsida	NA	Streptophytina	Streptophyta
bol	Brassica oleracea	109376	Brassica oleracea	Brassicaceae	Brassicales	Magnoliopsida	NA	Streptophytina	Streptophyta
bra	Brassica rapa	3711	Brassica rapa	Brassicaceae	Brassicales	Magnoliopsida	NA	Streptophytina	Streptophyta
bvu	Beta vulgaris	161934	Beta vulgaris	Chenopodiaceae	Caryophyllales	Magnoliopsida	NA	Streptophytina	Streptophyta
camsi	Camellia sinensis var. sinensis	542762	Camellia sinensis	Theaceae	Ericales	Magnoliopsida	NA	Streptophytina	Streptophyta
can	Capsicum annuum	4072	Capsicum annuum	Solanaceae	Solanales	Magnoliopsida	NA	Streptophytina	Streptophyta
cansat	Cannabis sativa	3483	Cannabis sativa	Cannabaceae	Rosales	Magnoliopsida	NA	Streptophytina	Streptophyta
car	Cicer arietinum L.	3827	Cicer arietinum	Fabaceae	Fabales	Magnoliopsida	NA	Streptophytina	Streptophyta
cav	Corylus avellana	13451	Corylus avellana	Betulaceae	Fagales	Magnoliopsida	NA	Streptophytina	Streptophyta
cbr	Chara braunii	69332	Chara braunii	Characeae	Charales	Charophyceae	NA	Streptophytina	Streptophyta
ccan	Coffea canephora	49390	Coffea canephora	Rubiaceae	Gentianales	Magnoliopsida	NA	Streptophytina	Streptophyta
ccl	Citrus clementina	85681	Citrus x clementina	Rutaceae	Sapindales	Magnoliopsida	NA	Streptophytina	Streptophyta
cde	Ceratophyllum demersum	4428	Ceratophyllum demersum	Ceratophyllaceae	Ceratophyllales	Magnoliopsida	NA	Streptophytina	Streptophyta
cfa	Carpinus fangiana	176857	Carpinus fangiana	Betulaceae	Fagales	Magnoliopsida	NA	Streptophytina	Streptophyta
chi	Cardamine hirsuta	50463	Cardamine hirsuta	Brassicaceae	Brassicales	Magnoliopsida	NA	Streptophytina	Streptophyta
cil	Carya illinoinensis	32201	Carya illinoinensis	Juglandaceae	Fagales	Magnoliopsida	NA	Streptophytina	Streptophyta
cla	Citrullus lanatus	3654	Citrullus lanatus	Cucurbitaceae	Cucurbitales	Magnoliopsida	NA	Streptophytina	Streptophyta
cme	Cucumis melo	3656	Cucumis melo	Cucurbitaceae	Cucurbitales	Magnoliopsida	NA	Streptophytina	Streptophyta
col	Corchorus olitorius	93759	Corchorus olitorius	Malvaceae	Malvales	Magnoliopsida	NA	Streptophytina	Streptophyta
cpa	Carica papaya	3649	Carica papaya	Caricaceae	Brassicales	Magnoliopsida	NA	Streptophytina	Streptophyta
cqu	Chenopodium quinoa	63459	Chenopodium quinoa	Chenopodiaceae	Caryophyllales	Magnoliopsida	NA	Streptophytina	Streptophyta
cre	Chlamydomonas reinhardtii	3055	Chlamydomonas reinhardtii	Chlamydomonadaceae	Chlamydomonadales	Chlorophyceae	NA	NA	Chlorophyta
cru	Capsella rubella	81985	Capsella rubella	Brassicaceae	Brassicales	Magnoliopsida	NA	Streptophytina	Streptophyta
csa	Cucumis sativus L.	3659	Cucumis sativus	Cucurbitaceae	Cucurbitales	Magnoliopsida	NA	Streptophytina	Streptophyta
dca	Daucus carota	4039	Daucus carota	Apiaceae	Apiales	Magnoliopsida	NA	Streptophytina	Streptophyta
din	Davidia involucrata	16924	Davidia involucrata	Nyssaceae	Cornales	Magnoliopsida	NA	Streptophytina	Streptophyta
dzi	Durio zibethinus	66656	Durio zibethinus	Malvaceae	Malvales	Magnoliopsida	NA	Streptophytina	Streptophyta
eca	Erigeron canadensis	72917	Erigeron canadensis	Asteraceae	Asterales	Magnoliopsida	NA	Streptophytina	Streptophyta
egr	Eucalyptus grandis	71139	Eucalyptus grandis	Myrtaceae	Myrtales	Magnoliopsida	NA	Streptophytina	Streptophyta
egut	Erythranthe guttata	4155	Erythranthe guttata	Phrymaceae	Lamiales	Magnoliopsida	NA	Streptophytina	Streptophyta
esa	Eutrema salsugineum	72664	Eutrema salsugineum	Brassicaceae	Brassicales	Magnoliopsida	NA	Streptophytina	Streptophyta
fan	Fragaria x ananassa	3747	Fragaria x ananassa	Rosaceae	Rosales	Magnoliopsida	NA	Streptophytina	Streptophyta
fve	Fragaria vesca	57918	Fragaria vesca	Rosaceae	Rosales	Magnoliopsida	NA	Streptophytina	Streptophyta
